"label","text"
"neg","Bambuterol, a bronchodilator prodrug with sustained action, enhances delivery of active drug to the lung."
"neg","Maternal dietary fat and fatty acid intake during lactation and the risk of asthma in the offspring."
"neg","Regulation of CD23 in the chronic inflammatory response in asthma: a role for interferon-gamma and heat shock protein 70 in the TH2 environment."
"neg","Overlap syndrome."
"neg","Asthmatic patients with panic disorders: report of three cases with management and outcome."
"neg","Parental preference for short- versus long-course corticosteroid therapy in children with asthma presenting to the pediatric emergency department."
"pos","The effect of low-dose inhaled fluticasone propionate on exhaled nitric oxide in asthmatic patients and comparison with oral zafirlukast."
"pos","Oral versus intravenous corticosteroids in children hospitalized with asthma."
"neg","Chronic homeostatic vagal efferent activity turndown: a theory of asthma."
"neg","Maternal atopic disease modifies effects of prenatal risk factors on exhaled nitric oxide in infants."
"pos","Long-term effects of biofeedback-induced facial relaxation on measures of asthma severity in children."
"neg","Impact of omalizumab in children from a middle-income country with severe therapy-resistant asthma: A real-life study."
"pos","Results from a multicentre trial of metoprolol and a study of hypertensive patients with chronic obstructive lung disease."
"neg","Measurement of serum eosinophil cationic protein levels in bronchial asthma."
"neg","Asthma, obesity and diet."
"neg","Epithelial eotaxin-2 and eotaxin-3 expression: relation to asthma severity, luminal eosinophilia and age at onset."
"neg","Leukotriene receptor antagonists--risks and benefits for use in paediatric asthma."
"neg","A study of protein kinase C signal pathway in regulating airway smooth muscle cell proliferation in asthmatic rats."
"neg","The arrhythmogenicity of theophylline. A multivariate analysis of clinical determinants."
"neg","Daily mood, shortness of breath, and lung function in asthma: concurrent and prospective associations."
"pos","A clinical trial of the bronchodilator effect of Sch 1000 aerosol in asthmatic children."
"neg","Anguilluliasis hyperinfection in a patient receiving corticosteroids: hepatic and biliary involvement."
"pos","Comparative study of carbuterol and salbutamol from metered aerosols in bronchial asthma."
"pos","Immunotherapy with a depigmented, polymerized vaccine of Olea europaea pollen allergens. Significantly reduces specific bronchial and skin test reactivity in sensitized patients after one year of treatment."
"neg","Occupational asthma in a highly industrialized region of UK: report from a local surveillance scheme."
"pos","Albuterol administration is commonly associated with increases in serum lactate in patients with asthma treated for acute exacerbation of asthma."
"neg","Allergy in the workplace--epidemiological prognoses and perspectives of hygienic prophylaxis."
"pos","Effects of heparin on hypertonic potassium chloride-induced bronchoconstriction."
"neg","Modulatory effect of anisodamine on airway hyper-reactivity and eosinophilic inflammation in a murine model of allergic asthma."
"neg","Insufficient respiratory hazard identification in the safety data sheets for cleaning and disinfection products used in healthcare organisations across England and Wales."
"neg","Asthma-derived fibroblast to myofibroblast transition is enhanced in comparison to fibroblasts derived from non-asthmatic patients in 3D in vitro culture due to Smad2/3 signalling."
"pos","Effects of an anti-TSLP antibody on allergen-induced asthmatic responses."
"neg","Churg-Strauss allergic granulomatosis."
"pos","Methods and issues in conducting a community-based environmental randomized trial."
"neg","Effects of Modified Sang ju-Yin Decoction Combined with IFN α lb Nebulization on IL-1 β and HBD2 in Children with Asthmatic Bronchitis."
"neg","Importance of the leukotriene B4-BLT1 and LTB4-BLT2 pathways in asthma."
"neg","Pulse oximetry and peak expiratory flow rate correlations in acute asthma exacerbation in children."
"neg","Trends in the frequency of hospitalization for asthma and chronic obstructive lung disease in The Netherlands, 1980-1988."
"pos","Cellular profiles in asthmatic airways: a comparison of induced sputum, bronchial washings, and bronchoalveolar lavage fluid."
"pos","Cysteinyl leukotriene antagonism inhibits bronchoconstriction in response to hypertonic saline inhalation in asthma."
"pos","Comparison of real and simulated acupuncture and isoproterenol in methacholine-induced asthma."
"neg","Properties of human basophils isolated by fluorescence-activated cell sorting."
"neg","House dust mite allergens (Der p I and Der p V) within domestic environments of atopic and control children."
"pos","Comparative bronchodilator responses to atropine and terbutaline in asthma and chronic bronchitis."
"pos","Effect of acute alterations in inspired oxygen tension on methacholine induced bronchoconstriction in patients with asthma."
"neg","Influence of natural exposure to pollens and domestic animals on airway responsiveness and inflammation in sensitized non-asthmatic subjects."
"pos","Effect of salmeterol on seasonal changes in airway responsiveness and exhaled nitric oxide in pollen-sensitive asthmatic subjects."
"neg","Evaluation of an educational program for adolescents with asthma."
"neg","Current concepts in asthma treatment in children."
"neg","Aggregations of lymphoid cells in the airways of nonsmokers, smokers, and subjects with asthma."
"neg","Plain Language Summaries of Clinical Trial Results: A Preliminary Study to Assess Availability of Easy-to-Understand Summaries and Approaches to Improving Public Engagement."
"neg","African ancestry and lung function in Puerto Rican children."
"pos","The effect of preseasonal immunotherapy on the production of histamine-releasing factor (HRF) by mononuclear cells from patients with seasonal asthma: results of a double-blind, placebo-controlled, randomized study."
"pos","Leukolysis reaction in the diagnosis of allergy to antibacterial preparations in pulmonology."
"neg","Coprescription of antibiotics and asthma drugs in children."
"neg","Respiratory allergy and environmental pollution in pediatrics."
"neg","Occupational asthma."
"pos","Anti-inflammatory activity and clinical efficacy of a 3-month levocetirizine therapy in mite-allergic children."
"pos","Single-dose comparison of formoterol (Oxis) Turbuhaler 6 microg and formoterol Aerolizer 12 microg in moderate to severe asthma: a randomised, crossover study."
"neg","Home supply of emergency oral steroids and reduction in asthma healthcare utilization."
"neg","Personality structure of asthmatic and normal children assessed by the Rorschach technique. An experimental study."
"neg","Prenatal or early-life exposure to antibiotics and risk of childhood asthma: a systematic review."
"neg","Glutathione-S-transferase P promotes glycolysis in asthma in association with oxidation of pyruvate kinase M2."
"neg","Impact of Hurricanes on Children With Asthma: A Systematic Literature Review."
"pos","Theophylline inhibits early and late asthmatic reactions induced by allergens in asthmatic subjects."
"pos","Effect of high-dose fluticasone propionate on bone density and metabolism in children with asthma."
"neg","Interleukin-1beta-induced cyclooxygenase-2 expression is mediated through activation of p42/44 and p38 MAPKS, and NF-kappaB pathways in canine tracheal smooth muscle cells."
"neg","DNA sequence variants of the platelet-derived growth factor A-chain gene."
"neg","Epidemiology of respiratory allergy in children."
"neg","The role of inhaled corticosteroids in asthma treatment: a health economic perspective."
"neg","Protective role of 14-deoxy-11,12-didehydroandrographolide, a noncytotoxic analogue of andrographolide, in allergic airway inflammation."
"neg","HIV-associated obstructive lung diseases: insights and implications for the clinician."
"pos","Antihistamines added to an antileukotriene in treating seasonal allergic rhinitis: histamine and leukotriene antagonism."
"neg","Prevalence of work-aggravated symptoms in clinically established asthma."
"neg","Initiating inhaled steroid treatment for children with asthma in the emergency room: current reported prescribing rates and frequently cited barriers."
"neg","Effects of inducible nitric oxide synthase inhibition in bronchial vascular remodeling-induced by chronic allergic pulmonary inflammation."
"neg","Short-acting bronchodilators purchase as a marker for asthma control."
"pos","A pilot study to enhance preventive asthma care among urban adolescents with asthma."
"neg","Evaluation of apoptosis of eosinophils, macrophages, and T lymphocytes in mucosal biopsy specimens of patients with asthma and chronic bronchitis."
"neg","GERD (gastroesophageal reflux disease)."
"neg","Role of chemical mediators in bronchoconstriction induced by kerosene."
"neg","Human plasma-derived C1 esterase inhibitor concentrate has limited effect on house dust mite-induced allergic lung inflammation in mice."
"pos","Importance of selected inhaler characteristics and acceptance of a new breath-actuated powder inhalation device."
"pos","Stringent environmental control in pregnancy and early life: the long-term effects on mite, cat and dog allergen."
"pos","Inhaled epinephrine and oral theophylline-ephedrine in the treatment of asthma."
"neg","Effect of interleukin-1beta and tumor necrosis factor-alpha on the expression of G-proteins in CD4+ T-cells of atopic asthmatic subjects."
"neg","Feasibility of using a large Clinical Data Warehouse to automate the selection of diagnostic cohorts."
"neg","Identification of potential transcriptomic markers in developing asthma: An integrative analysis of gene expression profiles."
"neg","Prevalence and co-occurrence of parentally reported possible asthma and allergic manifestations in pre-school children."
"pos","Assessing quality of care in pediatric asthma: applicability of a revised version of the QUOTE-CNSLD questionnaire."
"neg","The hidden health burden of environmental degradation: disease comorbidities and dryland salinity."
"pos","Randomised controlled trial of high concentration versus titrated oxygen therapy in severe exacerbations of asthma."
"neg","Bronchoalveolar cells in children < 3 years old with severe recurrent wheezing."
"neg","Effect of pregnancy and stage of pregnancy on asthma severity: a systematic review."
"neg","Is low birth weight a risk factor for asthma during adolescence?"
"pos","Results of a physician and respiratory therapist collaborative effort to improve long-term metered-dose inhaler technique in a pediatric asthma clinic."
"pos","Safety of long-term treatment with HFA albuterol."
"pos","Comparison of salbutamol and ephedrine in oral bronchodilator combinations with theophylline and hydroxyzine: their effects on asthmatics."
"neg","Activation of tumor necrosis factor receptor 1 in airway smooth muscle: a potential pathway that modulates bronchial hyper-responsiveness in asthma?"
"neg","Characterization of the functional interrelationship between the cardiovascular and respiratory systems in children with bronchial asthma in the remission period."
"neg","Asthma patients get assertive about helping themselves in innovative DM program."
"pos","Evaluation of long-term safety of the anti-IgE antibody, omalizumab, in children with allergic asthma."
"neg","Utilization of anti-asthma medications in two Quebec populations of anti-asthma medication users: a prescription database analysis."
"pos","Impact of fluticasone propionate powder on health-related quality of life in patients with moderate asthma."
"neg","Severe food anaphylaxis: 107 cases registered in 2002 by the Allergy Vigilance Network."
"neg","Asthma in Greenwich, UK: impact of the disease and current management practices."
"pos","Adrenal function and high dose inhaled corticosteroids for asthma."
"neg","Occupational asthma in New Zealanders: a population based study."
"pos","Effect of vitamin D3 on asthma treatment failures in adults with symptomatic asthma and lower vitamin D levels: the VIDA randomized clinical trial."
"pos","Influence of pindolol (Visken) on respiratory function in 20 asthmatic patients."
"neg","Water intoxication in asthma assessed by urinary arginine vasopressin."
"pos","Redesigned face mask improves ""real life"" aerosol delivery for Nebuchamber."
"neg","Wheezing bronchitis reinvestigated at the age of 10 years."
"pos","Assessment of T lymphocyte cytokine production in induced sputum from asthmatics: a flow cytometry study."
"neg","The clinical benefit of evaluating health-related quality-of-life in children with problematic severe asthma."
"neg","The prevalence of comorbidities in Danish patients with obesity - A Danish register-based study based on data from 2002 to 2018."
"neg","Sensitivity to House Dust Mites Allergens with Atopic Asthma and Its Relationship with CD14 C(-159T) Polymorphism in Patients of West Bengal, India."
"neg","Sputum induction leads to a decrease of exhaled nitric oxide unrelated to airflow."
"pos","The Spacehaler for delivery of salbutamol: a comparison with the standard metered-dose inhaler plus Volumatic spacer device."
"neg","Specific IgE estimations by RAST in Japanese asthmatics compared with skin, passive transfer and bronchial provocation tests."
"pos","Time-frequency detection and analysis of wheezes during forced exhalation."
"neg","Time Trends and Regional Variation in Prevalence of Asthma and Associated Factors in Saudi Arabia: A Systematic Review and Meta-Analysis."
"pos","Rapid and Consistent Improvements in Morning PEF in Patients with Severe Eosinophilic Asthma Treated with Mepolizumab."
"pos","Allergen reduction measures in houses of allergic asthmatic patients: effects of air-cleaners and allergen-impermeable mattress covers."
"neg","Diagnosis and hyposensitization treatment of patients with house dust mite allergies in high mountain areas."
"pos","Relationship between changes in quality of life and measures of lung function and bronchial hyper-responsiveness during high-dose inhaled corticosteroid treatment in uncontrolled asthma."
"neg","New in vitro procedures in allergy diagnosis."
"pos","Evaluation of inhaler technique and achievement and maintenance of mastery of budesonide/formoterol Spiromax® compared with budesonide/formoterol Turbuhaler® in adult patients with asthma: the Easy Low Instruction Over Time (ELIOT) study."
"neg","Bcl-2-mediated regulation of CD69-induced apoptosis of human eosinophils: identification and characterization of a novel receptor-induced mechanism and relationship to CD95-transduced signalling."
"pos","Increased C-reactive protein is associated with airway wall thickness in steroid-naive asthma."
"neg","Impact of pediatric obesity on acute asthma exacerbation in Japan."
"neg","Do children with asthma and their parents agree on household ETS exposure? Implications for asthma management."
"neg","Interrupter resistance to measure dose-response to salbutamol in wheezy preschool children."
"neg","Grain dust and the lungs."
"pos","Chinese herbal medicine formula for acute asthma: A multi-center, randomized, double-blind, proof-of-concept trial."
"pos","Inhibitory effects of an anti-IgE antibody E25 on allergen-induced early asthmatic response."
"neg","Current Status and Future Directions of Chronic Cough in China."
"neg","Clinical observation between chronic sustained cough with asthma and childhood inguinal hernia."
"pos","Accelerated decline in lung function and impaired reversibility with salbutamol in asthmatic patients with chronic hepatitis C virus infection: a 6-year follow-up study."
"pos","Beta-adrenergic blockade of the lung. Dose-dependent cardioselectivity of tolamolol in asthma."
"neg","Hospital admissions for asthma, diabetes and COPD: is there an association with practice nurse staffing? A cross sectional study using routinely collected data."
"neg","Sudden death in childhood bronchial asthma: report of one case."
"neg","Efficacy and safety of influenza vaccination in children with asthma."
"neg","Evaluation of quality of life among the caregivers of asthmatic children: the new IFABI-R questionnaire."
"neg","Influenza A virus enhances Staphylococcus aureus-induced basophil histamine release in normal individuals and patients with intrinsic asthma."
"neg","Allergic Rhinitis and its Impact on Asthma (ARIA): achievements in 10 years and future needs."
"pos","A comparative assessment of carbuterol, fenoterol and hexoprenaline in allergic asthma."
"pos","A randomized trial of a one-time pest intervention: impact on childhood asthma outcomes."
"neg","Analysis of specific sIgE detection of house dust mites and aspergillus fumigatus in 2 535 patients with respiratory allergic diseases and respiratory infectious diseases in the Guangzhou area."
"neg","Asthma deaths."
"neg","Plethysmography Phenotype QTL in Mice Before and After Allergen Sensitization and Challenge."
"neg","A knowledge of asthma in school children: a survey among primary school teachers."
"neg","New insights into the pathogenesis and management of steroid-resistant asthma."
"neg","Does recurrent sinusitis lead to a sinusitis remodeling of the upper airways in asthmatic children with chronic rhinitis?"
"neg","Changes in the lipid composition of cell membranes in patients with bronchial asthma after glucocorticosteroid therapy."
"neg","Gas chromatography/mass spectrometry analysis of exhaled leukotrienes in asthmatic patients."
"pos","Effectiveness of fluticasone furoate/vilanterol versus fluticasone propionate/salmeterol on asthma control in the Salford Lung Study."
"neg","State of higher nervous activity in women with bronchial asthma."
"neg","New Insights Into the Relationship Between Chitinase-3-Like-1 and Asthma."
"neg","Persistent organic pollutants and children's respiratory health: the role of cytokines and inflammatory biomarkers."
"neg","Prevalence of asthma in schoolchildren from the Mexican city Hermosillo."
"neg","Immunoallergological studies on chironomid antigen in bronchial asthma."
"pos","Allergen specific immunotherapy in nasobronchial allergy."
"pos","Treatment of status asthmaticus in children with high doses and conventional doses of methylprednisolone."
"pos","Clinical study of anti-leukotriene therapy with montelukast in bronchial asthma patients."
"pos","Betamethasone valerate inhalation and exercise-induced asthma in adults."
"pos","Lung function fluctuation patterns unveil asthma and COPD phenotypes unrelated to type 2 inflammation."
"pos","Comorbidities and depressive symptoms among older adults with asthma."
"pos","The role of immunotherapy in cockroach asthma."
"neg","The paradox does not fit all: Racial disparities in asthma among Mexican Americans in the U.S."
"neg","Bronchial challenge with flour: early response is dependent on the dose of activated allergen inhaled."
"pos","Combined antagonism of leukotrienes and histamine produces predominant inhibition of allergen-induced early and late phase airway obstruction in asthmatics."
"neg","Sensory neuropeptide involvement in animal models of airway irritation and of allergen-evoked asthma."
"neg","Asthma-related prescribing patterns with four different corticosteroid inhaler devices."
"neg","Body mass index and asthma severity among adults presenting to the emergency department."
"neg","Detection of bronchial hyperreactivity especially in exercise asthma using cold air hyperventilation provocation, free walking and acetylcholine."
"neg","Development, evaluation and validation of a new instrument for measurement quality of life in the parents of children with chronic disease."
"pos","Effect of single doses of inhaled lignocaine on FEV1 and bronchial reactivity in asthma."
"pos","Effects of PAF antagonist, BN52021, on the PAF-, methacholine-, and allergen-induced bronchoconstriction in asthmatic children."
"neg","Effect of verbal counselling on metred-dose inhaler proper use and lung function test amongst asthmatic patients: A meta-analysis."
"neg","""Asthma isn't an excuse, it's just a condition"": youths' perceptions of physical activity and screen time."
"neg","IL-13 suppresses double-stranded RNA-induced IFN-λ production in lung cells."
"neg","Phonospirometry for noninvasive measurement of ventilation: methodology and preliminary results."
"neg","Changes in primary care prescribing patterns for paediatric asthma: a prescribing database analysis."
"neg","Asthma status and waning of measles antibody concentrations after measles immunization."
"pos","Comparison of the effects of an angiotensin converting enzyme inhibitor and a calcium channel blocker on blood pressure and respiratory function in patients with hypertension and asthma."
"neg","Early environmental influences in the development of asthma and atopic disease."
"neg","In vivo bronchial epithelial interferon responses are augmented in asthma on day 4 following experimental rhinovirus infection."
"neg","Atypical pathogens and asthma: can they influence the natural history of the disease?"
"pos","A comparison between an equimolar inhaled dose of ibuterol and terbutaline in asthmatics."
"neg","Fine mapping and single nucleotide polymorphism association results of candidate genes for asthma and related phenotypes."
"neg","Complementary anti-inflammatory effects of a β-blocker and a corticosteroid in an asthma model."
"neg","The β-2 agonist debate: is there still a problem?"
"pos","Comparative pharmacodynamic-pharmacokinetic correlation of oral sustained-release theophylline formulation in adult asthmatics."
"pos","Theophylline analysis at the chest clinic--comparison of a portable versus conventional system."
"pos","Inhaled and systemic corticosteroid response in severe asthma assessed by alveolar nitric oxide: a randomized crossover pilot study of add-on therapy."
"pos","Intranasal heparin reduces eosinophil recruitment after nasal allergen challenge in patients with allergic rhinitis."
"pos","Comparative study of cloprednol versus placebo in asthma."
"neg","Establishing an expert consensus for the operational definitions of asthma-associated infectious and inflammatory multimorbidities for computational algorithms through a modified Delphi technique."
"neg","Allergen skin test reaction patterns in children (</=10 years old) from atopic families suggest age-dependent changes in allergen-IgE binding in early life."
"pos","Systemic activity of inhaled and swallowed beclomethasone dipropionate and the effect of different inhaler devices."
"pos","Role of histamine release in hypertonic saline induced bronchoconstriction."
"neg","Progressive pneumonia complicating steroid-dependent asthma."
"neg","Do we have an asthma epidemic?."
"neg","Myofibroblast involvement in the allergen-induced late response in mild atopic asthma."
"neg","Increased expression of serum periostin and YKL40 in children with severe asthma and asthma exacerbation."
"neg","Asthma and comorbid medical illness."
"neg","Impact of an emergency nurse-initiated asthma management protocol on door-to-first-salbutamol-nebulization-time in a pediatric emergency department."
"neg","Interleukin-28B dampens protease-induced lung inflammation via IL-25 and TSLP inhibition in epithelial cells."
"neg","Air pollution, pollens, and daily admissions for asthma in London 1987-92."
"neg","Airway subsensitivity with long-acting beta 2-agonists. Is there cause for concern?"
"neg","The president speaks: prevention is best: lessons from protecting the ozone layer."
"pos","Cinnarizine in the treatment of chronic asthma."
"neg","IRF-1 SNPs influence the risk for childhood allergic asthma: A critical role for pro-inflammatory immune regulation."
"pos","An open-label study of high-dose intravenous immunoglobulin in severe childhood asthma."
"neg","OASYS-3: improved analysis of serial peak expiratory flow in suspected occupational asthma."
"neg","Effect of extracorporeal sorption on the content of free intracellular calcium of the leukocytes in atopic bronchial asthma."
"neg","Role and modulation of CD16 expression on eosinophils by cytokines and immune complexes."
"neg","Significant association between IL-17F promoter region polymorphism and susceptibility to asthma in a Korean population."
"pos","Short and long-term evaluation of two structured self management programmes on asthma."
"neg","MET3-AE system to support management of pediatric asthma exacerbation in the emergency department."
"neg","What are ventilation defects in asthma?"
"neg","Corticosteroid-insensitive asthma: molecular mechanisms."
"neg","Inhaled beta-agonists for asthma in mechanically ventilated patients."
"neg","The role of inhaled steroids in the treatment of asthma."
"pos","Effects of anti-IgE in asthmatic subjects."
"neg","Occupational rhinitis and bronchial asthma due to TBTU and HBTU sensitization."
"pos","Impact of obesity in asthma: evidence from a large prospective disease management study."
"neg","Novel ribbon-type nuclear factor of activated T cells decoy oligodeoxynucleotides preclude airways hyperreactivity and Th2 cytokine expression in experimental asthma."
"neg","Asthma deaths in England and Wales 1931-85: evidence for a true increase in asthma mortality."
"neg","Functional molecules in allergic bronchial asthma."
"neg","Assessment of the health benefits to children of a transportation climate policy in New York City."
"neg","Intermittent and continuous salbutamol rotacaps inhalation in asthmatic patients."
"neg","Immuno-modulatory activity of Ganoderma lucidum-derived polysacharide on human monocytoid dendritic cells pulsed with Der p 1 allergen."
"pos","Inhaled verapamil-induced bronchoconstriction in mild asthma."
"neg","LC/MS/MS plasma assay for the peptidomimetic VLA4 antagonist I and its major active metabolite II: for treatment of asthma by inhalation."
"neg","Locally instilled tumor necrosis factor-α antisense oligonucleotide inhibits allergic inflammation via the induction of Tregs."
"neg","Pediatric observation status beds on an inpatient unit: an integrated care model."
"neg","Genetic polymorphisms in antioxidative enzymes are associated to forced expiratory volume in 1 s (FEV1) in smokers independently of asthma."
"neg","Integrating clinical practice guidelines into daily practice: impact of an interactive workshop on drafting of a written action plan for asthma patients."
"neg","Mechanisms of action of nebulized low molecular weights heparin in patients with bronchial asthma."
"pos","Clinical control and histopathologic outcome of asthma when using airway hyperresponsiveness as an additional guide to long-term treatment. The AMPUL Study Group."
"neg","Caries experience in asthmatic children: a review of literature."
"neg","Gastroesophageal reflux in bronchial asthma patients. A clinical note."
"pos","The efficacy of oral theophylline and the combination of theophylline + hydroxyzine in chronic bronchial asthma."
"neg","Cellular and biochemical characteristics of bronchoalveolar lavage fluid in symptomatic nonallergic asthma."
"pos","Comparison of terbutaline and salebutamol aerosols in patients with bronchial asthma."
"neg","Not All Coughs Are Asthma or Allergies: Churg-Strauss Syndrome."
"neg","Enablers of Physician Prescription of a Long-Term Asthma Controller in Patients with Persistent Asthma."
"pos","Safety and clinical efficacy of zileuton in patients with chronic asthma."
"pos","Salmeterol and fluticasone propionate (50/250 microg) administered via combination Diskus inhaler: as effective as when given via separate Diskus inhalers."
"neg","Anti-Candida albicans IgE and IgG subclasses in sera of patients with allergic bronchopulmonary aspergillosis (ABPA)."
"pos","Immunotherapy for cat asthma."
"pos","Cockroach counts and house dust allergen concentrations after professional cockroach control and cleaning."
"pos","Studies on the bronchodilator, tremorogenic, cardiovascular and hypokalaemic effects of fenoterol dry powder in asthma."
"pos","Glucocorticoid insensitive asthma: a one year clinical follow up pilot study."
"neg","Evaluation of matrix metalloproteinases (pro-MMP-1, MMP-2,8) and their inhibitor (TIMP-1) contents in patients with occupational lung diseases."
"neg","Testing for reversibility in patients with obstructive airways disease."
"pos","A comparison of terbutaline and fenoterol unit dose vials in treating children with acute asthmatic attacks."
"neg","Late asthmatic reactions and bronchial variability after challenge with low doses of allergen."
"neg","Risk factors for asthma in US adults: results from the 2000 Behavioral Risk Factor Surveillance System."
"pos","Severe asthma concomitant with allergic bronchopulmonary aspergillosis (ABPA) and non-steroid exacerbated respiratory disease (N-ERD) successfully treated with mepolizumab: A case report."
"neg","Blood eosinophil cationic protein and eosinophil-derived neurotoxin are associated with different asthma expression and evolution in adults."
"pos","Tonsillectomy, adenoidectomy, and myringotomy in sickle cell disease: perioperative morbidity. Preoperative Transfusion in Sickle Cell Disease Study Group."
"neg","Short-term exposure to pollen and the risk of allergic and asthmatic manifestations: a systematic review and meta-analysis."
"pos","The use of rhDNAse in severely ill, non-intubated adult asthmatics refractory to bronchodilators: a pilot study."
"pos","Can endobronchial biopsy analysis be recommended to discriminate between asthma and COPD in routine practice?"
"pos","A comparison of the onset of action of salbutamol and formoterol in reversing methacholine-induced bronchoconstriction."
"neg","ControL'Asma Project: new insights."
"pos","Experience of the use of beclomethasone dipropionate aerosol in general practice."
"pos","The safety and efficacy of nebulized levalbuterol compared with racemic albuterol and placebo in the treatment of asthma in pediatric patients."
"neg","Discovering Pediatric Asthma Phenotypes on the Basis of Response to Controller Medication Using Machine Learning."
"neg","Talking with teens about asthma management."
"neg","Treatment patterns and related clinical consequences in adults with asthma."
"neg","Evaluation of a School-Based Asthma Education Protocol."
"neg","Patterns of Asthma Medication Use across the Transition to High School."
"pos","Effect of hyperoxia on bronchial response to inhaled methacholine."
"neg","Asthma, viruses, and nitric oxide."
"pos","A fixed combination of fluticasone and salmeterol permits better control of asthma than a beclomethasone dipropionate and montelukast combination."
"neg","Methacholine dose-response slopes from maximal bronchial challenge tests in asthmatic children: methodological aspects."
"neg","Dust from carpeted and smooth floors. II. Antigenic and allergenic content of dust vacuumed from carpeted and smooth floors in schools under routine cleaning schedules."
"pos","The effect of an anti-IgE monoclonal antibody on the early- and late-phase responses to allergen inhalation in asthmatic subjects."
"pos","Safety of selective COX-2 inhibitors in aspirin/nonsteroidal anti-inflammatory drug-intolerant patients: comparison of nimesulide, meloxicam, and rofecoxib."
"neg","Airmax: a multi-dose dry powder inhaler."
"neg","β2-Agonist induced cAMP is decreased in asthmatic airway smooth muscle due to increased PDE4D."
"neg","Circadian and concentration profile of cathepsin S in sera from healthy subjects and asthmatic patients."
"pos","A subgroup analysis of the MONICA study: a 12-month, open-label study of add-on montelukast treatment in asthma patients."
"neg","Matching Inhaler Devices with Patients: The Role of the Primary Care Physician."
"pos","Bambuterol: a new long acting bronchodilating prodrug."
"neg","Studies on antitussive, antiasthmatic, expectorant and anti-inflammatory effects of Jin'an kechuan granules."
"neg","Diagnostic value of the hypertonic saline bronchial provocation test in children with asthma using the high-power aerosol provocation system."
"pos","Wellness coaches in intervention delivery: pediatric asthma as an example."
"neg","Quality of life of asthmatic patients after complex rehabilitation treatment."
"neg","Impact of asthmatic control status on serum cystatin C concentrations."
"neg","Respiratory waveform variation can prevent pulsus paradoxus measurement by sphygmomanometry."
"neg","Asthma prescription patterns for children: can GPs do better?"
"neg","Cigarette smoke aggravates asthma by inducing memory-like type 3 innate lymphoid cells."
"pos","Effects of inhaled beclomethasone dipropionate on serum IgE levels and clinical symptoms in atopic asthma."
"pos","Bronchospasm induced by inhalation of substance P: effect of sodium cromoglycate."
"neg","Altered cerebral dominance in an atopic population."
"neg","Habitat of the allergic child: theory and practice."
"neg","Obesity elicits a unique metabolomic signature in human airway smooth muscle cells."
"neg","Disease management programs: benchmarking costs, savings, ROI."
"neg","Hair cortisol as a hypothalamic-pituitary-adrenal axis biomarker in pregnant women with asthma: a retrospective observational study."
"pos","A cumulative dose, safety and tolerability study of arformoterol in pediatric subjects with stable asthma."
"neg","Targeting the interleukin-4 and interleukin-13 pathways in severe asthma: current knowledge and future needs."
"pos","The effectiveness of the short- and long-term use of crystallized theophylline in asthmatic children."
"pos","Safety of As-Needed Budesonide-Formoterol in Mild Asthma: Data from the Two Phase III SYGMA Studies."
"neg","Patterns of medical care utilization according to environmental factors in asthma and chronic obstructive pulmonary disease patients."
"neg","Study of spontaneous resolution of bronchial spasm after methacholine challenge. Comparison of patients with different degree of hyperreactivity."
"pos","Levodropropizine (LD) activity in allergic asthmatic patients, challenged with ultrasonically nebulized distilled water, metacholine and allergen-induced bronchospasm."
"neg","Relation between extent of bronchial reactivity and need for medication (therapy) in bronchial asthma in children."
"neg","Demographic and neonatal risk factors for childhood asthma in the USA."
"neg","The role of substance P in regulating bronchomotor tone and the pathogenesis of bronchial hyperreactivity."
"neg","The independent and combined effects of lifetime smoke exposures and asthma as they relate to COPD."
"pos","Effect of the leukotriene receptor antagonist pranlukast on cellular infiltration in the bronchial mucosa of patients with asthma."
"pos","Home intervention in the treatment of asthma among inner-city children."
"pos","Decreased arginine bioavailability and increased serum arginase activity in asthma."
"neg","Use of quantitative and objective enzyme immunoassays to investigate the possible association between Chlamydia pneumoniae and Mycoplasma pneumoniae antibodies and asthma."
"neg","Hay fever, asthma and number of older siblings--a twin study."
"pos","Steroid-dependent asthma treated with inhaled beclomethasone dipropionate in children."
"pos","Low-dose salbutamol suppresses airway responsiveness to histamine but not methacholine in subjects with asthma."
"neg","The efficacy and safety of reslizumab for inadequately controlled asthma with elevated blood eosinophil counts: A systematic review and meta-analysis."
"neg","Review of psychosocial stress and asthma: an integrated biopsychosocial approach."
"pos","Group-randomized trial of tailored brief shared decision-making to improve asthma control in urban black adults."
"neg","Allergy, asthma and markers of infections among Albanian migrants to Southern Italy."
"neg","Patients' views of the burden of asthma: a qualitative study."
"pos","House dust mite hyposensitization."
"pos","Effect of acupuncture on bronchial asthma."
"pos","Efficacy of enprofylline in acute airway obstruction."
"pos","Effect of sodium cromoglycate and nifedipine on adenosine-induced bronchoconstriction."
"pos","Combination therapy with single inhaler budesonide/formoterol compared with high dose of fluticasone propionate alone in patients with moderate persistent asthma."
"pos","Actions other than smooth muscle relaxation may play a role in the protective effects of formoterol on the allergen-induced late asthmatic reaction."
"neg","Is Helicobacter pylori infection associated with asthma risk? A meta-analysis based on 770 cases and 785 controls."
"neg","Immunoglobulin levels, number of eosinophils in the peripheral blood and bronchial hypersensitivity in children with Mycoplasma pneumoniae pneumonia."
"pos","Cardiac side effects of long-acting beta-2 agonist salmeterol in asthmatic children."
